,Time,RPS
113,2024-06-05 16:25:48,118
114,2024-06-05 16:25:49,101
115,2024-06-05 16:25:50,115
116,2024-06-05 16:25:51,126
117,2024-06-05 16:25:52,81
118,2024-06-05 16:25:53,78
119,2024-06-05 16:25:54,93
120,2024-06-05 16:25:55,113
121,2024-06-05 16:25:56,108
122,2024-06-05 16:25:57,98
123,2024-06-05 16:25:58,104
124,2024-06-05 16:25:59,149
125,2024-06-05 16:26:00,103
126,2024-06-05 16:26:01,203
127,2024-06-05 16:26:02,209
128,2024-06-05 16:26:03,139
129,2024-06-05 16:26:04,166
130,2024-06-05 16:26:05,109
131,2024-06-05 16:26:06,85
132,2024-06-05 16:26:07,2
133,2024-06-05 16:26:08,8
134,2024-06-05 16:26:09,14
135,2024-06-05 16:26:10,111
136,2024-06-05 16:26:11,13
137,2024-06-05 16:26:12,2
138,2024-06-05 16:26:13,1
139,2024-06-05 16:26:14,1
140,2024-06-05 16:26:15,2
141,2024-06-05 16:26:16,1
142,2024-06-05 16:26:18,2
143,2024-06-05 16:26:19,5
144,2024-06-05 16:26:20,13
145,2024-06-05 16:26:21,57
146,2024-06-05 16:26:22,8
147,2024-06-05 16:26:23,1
148,2024-06-05 16:26:24,2
149,2024-06-05 16:26:25,1
150,2024-06-05 16:26:26,6
151,2024-06-05 16:26:27,3
152,2024-06-05 16:26:28,2
153,2024-06-05 16:26:30,2
154,2024-06-05 16:26:31,1
155,2024-06-05 16:26:32,2
156,2024-06-05 16:26:33,2
157,2024-06-05 16:26:34,5
158,2024-06-05 16:26:35,2
159,2024-06-05 16:26:36,97
160,2024-06-05 16:26:37,200
161,2024-06-05 16:26:38,162
162,2024-06-05 16:26:39,198
163,2024-06-05 16:26:40,178
164,2024-06-05 16:26:41,157
165,2024-06-05 16:26:42,142
166,2024-06-05 16:26:43,150
167,2024-06-05 16:26:44,102
168,2024-06-05 16:26:45,160
169,2024-06-05 16:26:46,159
170,2024-06-05 16:26:47,159
171,2024-06-05 16:26:48,107
172,2024-06-05 16:26:49,112
173,2024-06-05 16:26:50,259
174,2024-06-05 16:26:51,219
175,2024-06-05 16:26:52,185
176,2024-06-05 16:26:53,125
177,2024-06-05 16:26:54,327
178,2024-06-05 16:26:55,180
179,2024-06-05 16:26:56,353
180,2024-06-05 16:26:57,157
181,2024-06-05 16:26:58,330
182,2024-06-05 16:26:59,262
183,2024-06-05 16:27:00,245
184,2024-06-05 16:27:01,183
185,2024-06-05 16:27:02,170
186,2024-06-05 16:27:03,173
187,2024-06-05 16:27:04,193
188,2024-06-05 16:27:05,152
189,2024-06-05 16:27:06,100
190,2024-06-05 16:27:07,242
191,2024-06-05 16:27:08,263
192,2024-06-05 16:27:09,200
193,2024-06-05 16:27:10,175
194,2024-06-05 16:27:11,119
195,2024-06-05 16:27:12,88
196,2024-06-05 16:27:13,39
197,2024-06-05 16:27:14,99
198,2024-06-05 16:27:15,1
199,2024-06-05 16:27:17,1
200,2024-06-05 16:27:18,24
201,2024-06-05 16:27:19,168
202,2024-06-05 16:27:20,4
203,2024-06-05 16:27:21,193
204,2024-06-05 16:27:22,199
205,2024-06-05 16:27:23,89
206,2024-06-05 16:27:24,122
207,2024-06-05 16:27:25,109
208,2024-06-05 16:27:26,167
209,2024-06-05 16:27:27,178
210,2024-06-05 16:27:28,249
211,2024-06-05 16:27:29,230
212,2024-06-05 16:27:30,235
213,2024-06-05 16:27:31,107
214,2024-06-05 16:27:32,185
215,2024-06-05 16:27:33,89
216,2024-06-05 16:27:34,42
217,2024-06-05 16:27:35,197
218,2024-06-05 16:27:36,142
219,2024-06-05 16:27:37,104
220,2024-06-05 16:27:38,171
221,2024-06-05 16:27:39,232
222,2024-06-05 16:27:40,171
223,2024-06-05 16:27:41,104
224,2024-06-05 16:27:42,141
225,2024-06-05 16:27:43,152
226,2024-06-05 16:27:44,87
227,2024-06-05 16:27:45,78
228,2024-06-05 16:27:46,159
229,2024-06-05 16:27:47,153
230,2024-06-05 16:27:48,107
231,2024-06-05 16:27:49,228
232,2024-06-05 16:27:50,194
233,2024-06-05 16:27:51,198
234,2024-06-05 16:27:52,279
235,2024-06-05 16:27:53,145
236,2024-06-05 16:27:54,107
237,2024-06-05 16:27:55,202
238,2024-06-05 16:27:56,182
239,2024-06-05 16:27:57,182
240,2024-06-05 16:27:58,133
241,2024-06-05 16:27:59,204
242,2024-06-05 16:28:00,209
243,2024-06-05 16:28:01,113
244,2024-06-05 16:28:02,290
245,2024-06-05 16:28:03,269
246,2024-06-05 16:28:04,212
247,2024-06-05 16:28:05,181
248,2024-06-05 16:28:06,193
249,2024-06-05 16:28:07,118
250,2024-06-05 16:28:09,169
251,2024-06-05 16:28:10,214
252,2024-06-05 16:28:11,190
253,2024-06-05 16:28:12,96
254,2024-06-05 16:28:13,99
255,2024-06-05 16:28:14,85
256,2024-06-05 16:28:15,120
257,2024-06-05 16:28:16,206
258,2024-06-05 16:28:17,61
259,2024-06-05 16:28:18,90
260,2024-06-05 16:28:19,127
261,2024-06-05 16:28:20,230
262,2024-06-05 16:28:21,220
263,2024-06-05 16:28:22,282
264,2024-06-05 16:28:23,142
265,2024-06-05 16:28:24,106
266,2024-06-05 16:28:25,84
267,2024-06-05 16:28:26,126
268,2024-06-05 16:28:27,54
269,2024-06-05 16:28:28,202
270,2024-06-05 16:28:29,186
271,2024-06-05 16:28:30,106
272,2024-06-05 16:28:31,109
273,2024-06-05 16:28:32,218
274,2024-06-05 16:28:33,241
275,2024-06-05 16:28:34,144
276,2024-06-05 16:28:35,289
277,2024-06-05 16:28:36,329
278,2024-06-05 16:28:37,201
279,2024-06-05 16:28:38,170
280,2024-06-05 16:28:39,219
281,2024-06-05 16:28:40,110
282,2024-06-05 16:28:41,81
283,2024-06-05 16:28:42,210
284,2024-06-05 16:28:43,96
285,2024-06-05 16:28:44,182
286,2024-06-05 16:28:45,93
287,2024-06-05 16:28:46,103
288,2024-06-05 16:28:47,92
289,2024-06-05 16:28:48,159
290,2024-06-05 16:28:49,140
291,2024-06-05 16:28:50,55
292,2024-06-05 16:28:51,92
293,2024-06-05 16:28:52,180
294,2024-06-05 16:28:53,171
295,2024-06-05 16:28:54,74
296,2024-06-05 16:28:55,138
297,2024-06-05 16:28:56,19
298,2024-06-05 16:28:57,150
299,2024-06-05 16:28:58,272
300,2024-06-05 16:28:59,2
301,2024-06-05 16:29:00,27
302,2024-06-05 16:29:01,100
303,2024-06-05 16:29:02,74
304,2024-06-05 16:29:03,53
305,2024-06-05 16:29:04,64
306,2024-06-05 16:29:05,104
307,2024-06-05 16:29:06,34
308,2024-06-05 16:29:07,108
309,2024-06-05 16:29:08,53
310,2024-06-05 16:29:09,78
311,2024-06-05 16:29:10,87
312,2024-06-05 16:29:11,110
313,2024-06-05 16:29:12,57
314,2024-06-05 16:29:13,103
315,2024-06-05 16:29:14,78
316,2024-06-05 16:29:15,117
317,2024-06-05 16:29:16,176
318,2024-06-05 16:29:17,63
319,2024-06-05 16:29:18,79
320,2024-06-05 16:29:19,96
321,2024-06-05 16:29:20,82
322,2024-06-05 16:29:21,95
323,2024-06-05 16:29:22,117
324,2024-06-05 16:29:23,135
325,2024-06-05 16:29:24,92
326,2024-06-05 16:29:25,81
327,2024-06-05 16:29:26,110
328,2024-06-05 16:29:27,33
329,2024-06-05 16:29:28,158
330,2024-06-05 16:29:29,73
331,2024-06-05 16:29:30,75
332,2024-06-05 16:29:31,91
333,2024-06-05 16:29:32,62
334,2024-06-05 16:29:33,31
335,2024-06-05 16:29:34,146
336,2024-06-05 16:29:35,222
337,2024-06-05 16:29:36,56
338,2024-06-05 16:29:37,98
339,2024-06-05 16:29:38,156
340,2024-06-05 16:29:39,349
341,2024-06-05 16:29:40,141
342,2024-06-05 16:29:41,78
343,2024-06-05 16:29:42,86
344,2024-06-05 16:29:43,169
345,2024-06-05 16:29:44,168
346,2024-06-05 16:29:45,114
347,2024-06-05 16:29:46,203
348,2024-06-05 16:29:47,143
349,2024-06-05 16:29:48,61
350,2024-06-05 16:29:49,56
351,2024-06-05 16:29:50,97
352,2024-06-05 16:29:51,30
353,2024-06-05 16:29:52,238
354,2024-06-05 16:29:53,148
355,2024-06-05 16:29:54,136
356,2024-06-05 16:29:55,43
357,2024-06-05 16:29:56,8
358,2024-06-05 16:29:57,179
359,2024-06-05 16:29:58,75
360,2024-06-05 16:29:59,83
361,2024-06-05 16:30:00,51
362,2024-06-05 16:30:01,29
363,2024-06-05 16:30:02,11
364,2024-06-05 16:30:03,166
365,2024-06-05 16:30:04,31
366,2024-06-05 16:30:05,64
367,2024-06-05 16:30:06,44
368,2024-06-05 16:30:07,40
369,2024-06-05 16:30:08,82
370,2024-06-05 16:30:09,34
371,2024-06-05 16:30:10,29
372,2024-06-05 16:30:11,3
373,2024-06-05 16:30:12,32
374,2024-06-05 16:30:13,40
375,2024-06-05 16:30:14,77
376,2024-06-05 16:30:15,80
377,2024-06-05 16:30:16,84
378,2024-06-05 16:30:17,81
379,2024-06-05 16:30:18,55
380,2024-06-05 16:30:19,38
381,2024-06-05 16:30:20,53
382,2024-06-05 16:30:21,34
383,2024-06-05 16:30:22,43
384,2024-06-05 16:30:23,81
385,2024-06-05 16:30:24,143
386,2024-06-05 16:30:25,138
387,2024-06-05 16:30:26,44
388,2024-06-05 16:30:27,25
389,2024-06-05 16:30:28,94
390,2024-06-05 16:30:29,42
391,2024-06-05 16:30:30,2
392,2024-06-05 16:30:31,2
393,2024-06-05 16:30:32,16
394,2024-06-05 16:30:33,29
395,2024-06-05 16:30:34,70
396,2024-06-05 16:30:35,68
397,2024-06-05 16:30:36,63
398,2024-06-05 16:30:37,40
399,2024-06-05 16:30:38,53
400,2024-06-05 16:30:39,29
401,2024-06-05 16:30:40,6
402,2024-06-05 16:30:41,1
403,2024-06-05 16:30:43,136
404,2024-06-05 16:30:44,207
405,2024-06-05 16:30:45,100
406,2024-06-05 16:30:46,8
407,2024-06-05 16:30:47,110
408,2024-06-05 16:30:48,128
409,2024-06-05 16:30:49,2
410,2024-06-05 16:30:50,77
411,2024-06-05 16:30:51,78
412,2024-06-05 16:30:52,140
413,2024-06-05 16:30:53,106
414,2024-06-05 16:30:54,79
415,2024-06-05 16:30:55,75
416,2024-06-05 16:30:56,29
417,2024-06-05 16:30:57,2
418,2024-06-05 16:30:58,2
419,2024-06-05 16:30:59,7
420,2024-06-05 16:31:00,3
421,2024-06-05 16:31:01,97
422,2024-06-05 16:31:02,38
423,2024-06-05 16:31:03,67
424,2024-06-05 16:31:04,106
425,2024-06-05 16:31:05,129
426,2024-06-05 16:31:06,62
427,2024-06-05 16:31:07,168
428,2024-06-05 16:31:08,22
429,2024-06-05 16:31:09,12
430,2024-06-05 16:31:10,96
431,2024-06-05 16:31:11,66
432,2024-06-05 16:31:12,30
433,2024-06-05 16:31:13,71
434,2024-06-05 16:31:14,112
435,2024-06-05 16:31:15,218
436,2024-06-05 16:31:16,134
437,2024-06-05 16:31:17,98
438,2024-06-05 16:31:18,80
439,2024-06-05 16:31:19,112
440,2024-06-05 16:31:20,108
441,2024-06-05 16:31:21,37
442,2024-06-05 16:31:22,52
443,2024-06-05 16:31:23,49
444,2024-06-05 16:31:24,11
445,2024-06-05 16:31:25,22
446,2024-06-05 16:31:26,60
447,2024-06-05 16:31:27,22
448,2024-06-05 16:31:28,86
449,2024-06-05 16:31:29,57
450,2024-06-05 16:31:30,45
451,2024-06-05 16:31:31,63
452,2024-06-05 16:31:32,32
453,2024-06-05 16:31:33,89
454,2024-06-05 16:31:34,99
455,2024-06-05 16:31:35,41
456,2024-06-05 16:31:36,53
457,2024-06-05 16:31:37,35
458,2024-06-05 16:31:38,32
459,2024-06-05 16:31:39,72
460,2024-06-05 16:31:40,87
461,2024-06-05 16:31:41,136
462,2024-06-05 16:31:42,64
463,2024-06-05 16:31:43,80
464,2024-06-05 16:31:44,104
465,2024-06-05 16:31:45,99
466,2024-06-05 16:31:46,91
467,2024-06-05 16:31:47,81
468,2024-06-05 16:31:48,220
469,2024-06-05 16:31:49,158
470,2024-06-05 16:31:50,104
471,2024-06-05 16:31:51,87
472,2024-06-05 16:31:52,58
473,2024-06-05 16:31:53,98
474,2024-06-05 16:31:54,23
475,2024-06-05 16:31:55,6
476,2024-06-05 16:31:56,1
477,2024-06-05 16:31:57,27
478,2024-06-05 16:31:58,122
479,2024-06-05 16:31:59,151
480,2024-06-05 16:32:00,120
481,2024-06-05 16:32:01,165
482,2024-06-05 16:32:02,88
483,2024-06-05 16:32:03,187
484,2024-06-05 16:32:04,95
485,2024-06-05 16:32:05,79
486,2024-06-05 16:32:06,83
487,2024-06-05 16:32:07,40
488,2024-06-05 16:32:08,79
489,2024-06-05 16:32:09,52
490,2024-06-05 16:32:10,128
491,2024-06-05 16:32:11,177
492,2024-06-05 16:32:12,106
493,2024-06-05 16:32:13,141
494,2024-06-05 16:32:14,124
495,2024-06-05 16:32:15,98
496,2024-06-05 16:32:16,95
497,2024-06-05 16:32:17,116
498,2024-06-05 16:32:18,84
499,2024-06-05 16:32:19,149
500,2024-06-05 16:32:20,160
501,2024-06-05 16:32:21,94
502,2024-06-05 16:32:22,80
503,2024-06-05 16:32:23,83
504,2024-06-05 16:32:24,65
505,2024-06-05 16:32:25,160
506,2024-06-05 16:32:26,183
507,2024-06-05 16:32:27,142
508,2024-06-05 16:32:28,163
509,2024-06-05 16:32:29,102
510,2024-06-05 16:32:30,184
511,2024-06-05 16:32:31,151
512,2024-06-05 16:32:32,93
513,2024-06-05 16:32:33,257
514,2024-06-05 16:32:34,133
515,2024-06-05 16:32:35,121
516,2024-06-05 16:32:36,100
517,2024-06-05 16:32:37,99
518,2024-06-05 16:32:38,79
519,2024-06-05 16:32:39,104
520,2024-06-05 16:32:40,81
521,2024-06-05 16:32:41,142
522,2024-06-05 16:32:42,109
523,2024-06-05 16:32:43,155
524,2024-06-05 16:32:44,75
525,2024-06-05 16:32:45,129
526,2024-06-05 16:32:46,213
527,2024-06-05 16:32:47,166
528,2024-06-05 16:32:48,156
529,2024-06-05 16:32:49,121
530,2024-06-05 16:32:50,161
531,2024-06-05 16:32:51,164
532,2024-06-05 16:32:52,138
533,2024-06-05 16:32:53,67
534,2024-06-05 16:32:54,72
535,2024-06-05 16:32:55,89
536,2024-06-05 16:32:56,106
537,2024-06-05 16:32:57,193
538,2024-06-05 16:32:58,123
539,2024-06-05 16:32:59,219
540,2024-06-05 16:33:00,176
541,2024-06-05 16:33:01,169
542,2024-06-05 16:33:02,180
543,2024-06-05 16:33:03,213
